playtime_at_review,review,voted_up,comment_count,votes_up,votes_funny,音楽,システム,ゲーム性,映像,登場人物,登場モンスター,世界観,游戏性
1380,あまり面白くない,False,0,9,1,なし,なし,なし,なし,なし,,,
5034,全てにおいて微妙面白くもない,False,0,8,1,なし,なし,なし,なし,なし,,,
6939,"賛否両論だったので買い控えてましたが、半額キャンペーンだったので購入してみました。
それなりに遊んでみましたが、確かに賛否を感じました。
モンハンとしては７０点とかの評価も見ましたが、自分的には５０点くらいのギリギリ赤点回避くらいな印象でした。
特にマップと新モンスターが良くなかったですね、、、
マップは複雑過ぎるし、広大なはずなのに閉塞感を感じる作りで、鳥用の通路やオート移動のせいで、マップをほとんど覚えてないです。ここまでマップが入って来ないのはシリーズ初でした。

ストーリーズのグラで、新しいの作ってくだされ。。。",False,0,14,0,なし,マップ設計が複雑で広大さを感じさせない,なし,なし,なし,,,
5537, omosiroi eizougakirei,True,0,0,3,なし,なし,なし,おもしろい絵画的,なし,,,
7593,its pretty good,True,0,0,4,なし,なし,なし,なし,なし,,,
8809,"リリースされた当初は最適化されていなかったので友人とマルチプレイができない問題があったり、複数の大きな問題点が目に見えてわかるゲームだった。だが今は最適化も進んでいて私の6年前に買ったPC  RTX2060でも、ぬるぬる快適プレイが楽しめる本作。
過去作を通して見てもモンスターの少なさはあるが私は十分楽しめている。
その分！MR開放でたくさんモンスターが増えるんだろうな！きっとそうに違いない！

ただし...適応が遅すぎたのだ。リリース初期の一番人口がいる時期（増えやすい時期）に問題が複数浮き彫りになったため、全盛期の輝きを一瞬にして失ってしまった...私はこれから古龍渡りという現象を調査しに行く...が！
ハンター達よ！共に団結し、MR開放までこの大地に残り続け、なんとしても援軍が来るまで持ち堪えるんだ！！！",True,0,0,3,なし,最適化が進み、快適にプレイできる,マルチプレイの問題があったが、現在改善されている,なし,なし,,,
10515,シンプルにつまらない。,False,0,13,1,なし,なし,なし,なし,なし,,,
7199,"ワールド、サンブレイクと楽しくプレイできたのですが・・・・
ゲームに慣れれば慣れるほど、バグ？仕様なのか分からないですが。
マップもヒドイ、乗り物のAIも頭おかしい・・・・
刀のカウンターは発動するのに、相殺は発動しないのはナゼ・・・・
MRはサンブレイクの開発者に作っていただきたいですね・・・。",False,0,16,1,なし,不明,不明,マップもヒドイ,なし,,,
56961,"グラフィックドライバの更新があると、まともに起動しなくなる。
こんなゲームは他に知らない。",False,0,116,13,なし,グラフィックドライバの更新により起動不能,なし,なし,なし,,,
4676,初代からモンスターハンターをプレイしていますが、グラフィックのクオリティが高くゲームの基本仕様は変えずに様々な武器やモンスター装備が更新されており、久々にプレイしても昔の感覚のまま楽しめたのですごくよかったです。,True,0,2,3,なし,なし,なし,グラフィックのクオリティが高い,なし,,,
9501,普通にモンハンとして売ったの間違い,False,0,16,0,なし,なし,なし,なし,なし,,,
2878,そんなにやり込まないユーザとしては、過去作と比べてアクションの自由度が格段に向上し、武器問わず全体的により複雑でスタイリッシュな動きができるように正当進化を遂げただけでもすごく嬉しい。間違いなくプレイ中に過去一番ワクワクした作品でした,True,0,4,5,なし,なし,アクションの自由度が向上し、武器問わず複雑でスタイリッシュな動きができるようになった,なし,なし,,,
4545,"発売日直後しかやってない、今更なレビューです
アプデで改善されてるかもしれないので、あくまで参考までに
クリアするまでは楽しかった
よく言われていた、ストーリー中に自由に探索できないというのも自分は特に気にならなかった
バグや開発の無駄なこだわりについては、他の方のレビューとほぼ同意見です

アクション面については、正直あまり良くないように思える
他の名作と呼ばれるアクションゲームには到底及ばない気がする
モンハン特有のモッサリ感や、自分のやりたい行動が直感的にできない、出ない操作感が、最近の他のゲームに慣れた自分にはストレスが溜まるものだった
キーコンフィグもないし
（今作ワイルズとは関係ない話だし、あくまで昔の個人的な妄想だが、デビルメイクライのアクションでモンハンが出来たらなぁと思っていた）

また武器種に関しては、追加がなく目新しさが全くない。
既存の武器に新しいアクションが追加されたりはしたが、それがより操作の複雑性を生んでいると思うし、新鮮さには全く寄与していないとも思う
逆に削除されたアクションもあるので、これも賛否が分かれるところだと思う
すでにある武器に開発がやりたいことを無理に詰め込むのではなく、開発がやりたいことを実現できる武器種を追加した方が良かったのではないか？

武器の作成についても、ほぼ上位互換のアーティファクトが有るので、モンスターの素材を使って作る武器に魅力がない
そのせいで、色々なモンスターを狩りに行く理由が薄れている
武器のスキンを解放するためだけの物になっている気がする
（これまたワイルズと関係ないが、ワールドでマムタロト実装初期に、雷弓が出なくて萎えたのを思い出した。それが自分がワールドをやらなくなった理由だった。そして運ゲーが嫌いになった理由の一つでもある）

クエスト報酬によってレアな素材が１００％貰えるようになったのは、個人的にはすごい良かった点だと思う。
戦いたくもない相手と延々と戦い続けるのは正直苦痛だったので


やはり自分にはモンハンシリーズは合わない
アクション面でも合わないし、システム面でも合わない
今回このレビューを書いていて、自分が運ゲーを嫌いになったのはモンハンシリーズの影響が大きかったと気付かされた
どれだけ時間と労力をかけようと、求める物が手に入るかは運次第なのは、自分にはとても理不尽に感じられるからだ。現実では当然の事として受け入れられるが、ゲームでは開発のさじ加減一つでいくらでも変えられるのだから納得がいかない。支払ったコストと時間に見合った報酬を、ゲームの中でくらい保証してくれということである
よって評価はおススメ出来ないになる


あと重要なことで、キャラクリのやり直しくらい無料で何回でも自由にさせろ
意味わからんわ
DLCのスキンやジェスチャーの数も細分化していて無駄に多いし、それぞれにちゃんと値段もついて揃えようと思ったらものすごい高額だし
なんかすごい腹立ってきたわ
しかもDLCを購入してるかものすごい頻度で確認してるからゲームが重くなってるんだっけ？
すっごい腹立つわ！！
",False,0,17,0,なし,なし,アクション面が良くない、操作感が複雑でストレスが溜まる、武器種の追加が目新しさがない,なし,なし,,,
306,"※OCNのプロバイダを使っている場合、ネットワークエラー「S9052-TAD-W79T」のため、ネットワーク機能が一切使えません。オンライン機能を期待している方はご注意ください

友人と遊ぶために購入。ゲームとしてはおもしろそう、なのですが、いかんせんネットワークが使えないため、対応がなされるまで置くしかありません。各国の情報見ても一年以上ダメなところはダメなので、あきらめるしかなさそうです。
",False,0,30,4,なし,ネットワーク機能が使用できない,なし,なし,なし,,,
4961,"いろいろあったけどアプデが一通り終わった今ならちゃんと面白いと思う。
セール中なら本当におすすめ。今更始めたけどドはまり中です。",True,0,5,11,なし,なし,なし,なし,なし,,,
22401,モンハン好きなら是非！,True,0,1,4,なし,なし,なし,なし,なし,,,
19039,"やっぱりモンハンは面白い。
でも強い敵と戦ってて、変に地面が爆発しまくるのは戦ってて面白くない。
地面が爆発する要素、世界観とも合わないし、ただゲームを面白くなくしてる。いらない。
あと太刀の納刀遅すぎ。そしてハンターなのに受け身すら取れない。
カムラの里で修行して来いって毎回思う。",True,0,5,3,なし,地面が爆発する要素が世界観と合わない,太刀の納刀が遅く、ハンターとしての基本的な受け身が取れない,なし,なし,,,
6195,"歴戦王ラギアクルスの装備を作るために、歴戦王ラギアクルスを倒そう！
……と思ったら、歴戦王ラギアクルスのクエストがランダムでしか出ない。
出てくるまで待とう？？？？？？？？？？？？？？？？

なんで？？？？？

なんで装備を作るために倒したいモンスターが、ランダムでしか出てこないわけ？
いや、マルチで参加すればいいだけなのは分かる。
でも、自分で苦労して倒して、自分で装備を作るから楽しいんだわ。
マルチで囲んでボコボコにして素材集めても、別に面白くないんだよ。",False,0,18,2,なし,歴戦王ラギアクルスのクエストがランダムでしか出現しない,独自の装備システムがある,なし,なし,,,
31369,"盾持ち武器ぜんぶがジャスガできて、太刀や弓の人気武器はジャスト回避ができる
ハンマーと狩猟笛は相殺で強制的に自分のターンにもちこめる
アクション性は過去最高だとおもうので、非常におすすめ
ただ、運営とゲームの根幹のシステムがぶっ壊れてて人とPC本体を選ぶので、
そのあたりは気を付けたほうがいい",True,0,3,5,なし,運営とゲームの根幹のシステムが壊れている,アクション性は過去最高,なし,なし,,,
17818,最高のゲーム,True,0,2,5,なし,なし,なし,なし,なし,,,
18313,かこいち,True,0,2,5,なし,なし,なし,なし,なし,,,
10940,たのしいよ,True,0,5,3,なし,なし,なし,なし,なし,,,
12119,おもしろい,True,0,3,3,なし,なし,なし,なし,なし,,,
5868,最近モチベ上がって復帰しようと思ったのに、クラッシュ多発でまともに遊べない。ほかのゲームはそんなことないのに...,False,0,46,6,なし,クラッシュ多発,なし,なし,なし,,,
6246,"段差と坂道を全部消して欲しい
床面の地形が原因で被弾するの本当につまらない",False,0,21,1,なし,なし,被弾する場面が多い,なし,なし,,,
41674,"ボリュームは発売初期と比べるとだいぶマシにはなったと感じます。
いうほどクソゲーではないと思います。最適化も結構進んでいてかなり軽くなった気がします。
あと、アルシュベルドは神モンスでした。こいつのおかげで周回が苦にならなかったです。
以上",True,0,4,6,なし,最適化が進み、ロード時間やゲームの重さが改善された,なし,なし,アルシュベルドが強力なモンスターで周回が楽になった,,,
5071,"モンスターハンターの歴代トップで面白くないです。
グラフィックがいい以外は操作性から何から含めすべてゴミです。
皆さんサンブレイクに帰りましょう。",False,0,37,1,なし,操作性が悪い,なし,グラフィックが良い,なし,,,
15361,金を払った分、遊びましたが基本くそげーです。,False,0,21,0,なし,なし,遊び難い,なし,なし,,,
1060,"MHはP3rd、XX、ワールド、ライズと一通りやってるものです。
ゲームとしては面白いし、やりたいこともわかるんです。
ストーリーもサクサク進むし（というかサクサクすぎて拍子抜けした）、割と最初のほうからかわいいコーデにできたり、いいとこもあります。基本的に3000yenくらいの若干ストーリーあるアクションゲーくらいには楽しめます。

しかし
変なバグ等を発生させるわ、オープンワールドの使い方が雑だわ、モンハンとしてどうなんですかそれはという気分にさせられてしまうのが、最悪です。


そして低評価の一番の理由は、

モンハンワールドのほうがワイルドでしたよ！",False,0,73,9,なし,変なバグがある、オープンワールドの使い方が雑,なし,なし,なし,,,
24492,"ドライバーの相性はありましたが300時間遊べました

arc b580ドライバ[32.0.101.8735]は大丈夫でしたが古いドライバーの一部では植物がモザイク化します",True,0,3,5,なし,ドライバーの相性問題あり,なし,植物がモザイク化する,なし,,,
18634,"色々言われてるけどアクションは普通に面白かった
でも、グラをPCをクラッシュさせるほど追及しなくていいから、その分もうちょいモンスターの個体数増やしてほしかった
300時間もプレイしたしおすすめはするけど、今までのモンハンに比べて明らかに内容薄い
",True,0,30,10,なし,なし,アクションは普通に面白かった,グラフィックをPCがクラッシュさせるほど追及しなくていい,なし,,,
33795,"不満も多いけど全実績解除まで遊んだし高評価としておく。
あとは大型拡張への期待も込めて。

最適化のアプデのはずが、クラッシュ頻発により遊べなくなってしまったのが残念。
フレーム生成とかアップスケールとかオフにしても、グラボ側の設定調整してもダメでした。
サポートからも環境依存という理由でまともな回答は貰えないし。。。

Radeon のドライバ 25.9.2 ではギリギリ遊べていましたが、
最新ドライバにしたら集会所うろつくだけでクラッシュです。
ローカル LLM とか生成 AI も使うし、このゲームのためだけに
古いドライバに戻したくはないので残念だけどワイルズからは卒業です。",True,0,6,2,なし,最適化のアプデ後クラッシュ頻発,なし,なし,なし,,,
